使用命令行指定的mode: random_all
=== Training Mode: random_all ===
Parameters: M=3, N=8, F=10, K=3, C_cache=10, C_rec=5, lr=0.001
Episode 1/1500: avg_reward=-43094922.292, avg_energy=43094922.292, avg_D=0.056, hit_rate=0.333, energy_eff=0.866, epsilon=0.99
Episode 960/1500: avg_reward=-43452040.762, avg_energy=43452040.762, avg_D=0.055, hit_rate=0.323, energy_eff=0.858, epsilon=0.10
Episode 970/1500: avg_reward=-42916902.582, avg_energy=42916902.582, avg_D=0.057, hit_rate=0.337, energy_eff=0.867, epsilon=0.10
Episode 980/1500: avg_reward=-44021375.343, avg_energy=44021375.343, avg_D=0.056, hit_rate=0.348, energy_eff=0.856, epsilon=0.10
Episode 990/1500: avg_reward=-43833642.896, avg_energy=43833642.896, avg_D=0.055, hit_rate=0.321, energy_eff=0.852, epsilon=0.10
Episode 1000/1500: avg_reward=-44181469.756, avg_energy=44181469.756, avg_D=0.055, hit_rate=0.329, energy_eff=0.849, epsilon=0.10
Episode 1010/1500: avg_reward=-43547029.210, avg_energy=43547029.210, avg_D=0.056, hit_rate=0.320, energy_eff=0.858, epsilon=0.10
Episode 1020/1500: avg_reward=-45047267.617, avg_energy=45047267.617, avg_D=0.054, hit_rate=0.333, energy_eff=0.827, epsilon=0.10
Episode 1030/1500: avg_reward=-45516041.696, avg_energy=45516041.696, avg_D=0.055, hit_rate=0.328, energy_eff=0.833, epsilon=0.10
Episode 1040/1500: avg_reward=-44619290.719, avg_energy=44619290.719, avg_D=0.054, hit_rate=0.341, energy_eff=0.839, epsilon=0.10
Episode 1050/1500: avg_reward=-43748466.974, avg_energy=43748466.974, avg_D=0.056, hit_rate=0.331, energy_eff=0.847, epsilon=0.10
Episode 1060/1500: avg_reward=-45864582.760, avg_energy=45864582.760, avg_D=0.055, hit_rate=0.327, energy_eff=0.811, epsilon=0.10
Episode 1070/1500: avg_reward=-43767138.867, avg_energy=43767138.867, avg_D=0.057, hit_rate=0.327, energy_eff=0.864, epsilon=0.10
Episode 1080/1500: avg_reward=-42386496.712, avg_energy=42386496.712, avg_D=0.057, hit_rate=0.354, energy_eff=0.888, epsilon=0.10
Episode 1090/1500: avg_reward=-43256214.319, avg_energy=43256214.319, avg_D=0.058, hit_rate=0.335, energy_eff=0.877, epsilon=0.10
Episode 1100/1500: avg_reward=-44874956.682, avg_energy=44874956.682, avg_D=0.056, hit_rate=0.331, energy_eff=0.843, epsilon=0.10
Episode 1110/1500: avg_reward=-43594094.002, avg_energy=43594094.002, avg_D=0.055, hit_rate=0.325, energy_eff=0.856, epsilon=0.10
Episode 1120/1500: avg_reward=-43364413.051, avg_energy=43364413.051, avg_D=0.056, hit_rate=0.337, energy_eff=0.870, epsilon=0.10
Episode 1130/1500: avg_reward=-44320095.345, avg_energy=44320095.345, avg_D=0.057, hit_rate=0.331, energy_eff=0.834, epsilon=0.10
Episode 1140/1500: avg_reward=-42847236.473, avg_energy=42847236.473, avg_D=0.055, hit_rate=0.333, energy_eff=0.847, epsilon=0.10
Episode 1150/1500: avg_reward=-42268875.999, avg_energy=42268875.999, avg_D=0.056, hit_rate=0.354, energy_eff=0.886, epsilon=0.10
Episode 1160/1500: avg_reward=-43587322.695, avg_energy=43587322.695, avg_D=0.057, hit_rate=0.323, energy_eff=0.868, epsilon=0.10
Episode 1170/1500: avg_reward=-42284585.919, avg_energy=42284585.919, avg_D=0.058, hit_rate=0.327, energy_eff=0.886, epsilon=0.10
Episode 1180/1500: avg_reward=-45267814.540, avg_energy=45267814.540, avg_D=0.057, hit_rate=0.324, energy_eff=0.831, epsilon=0.10
Episode 1190/1500: avg_reward=-43443430.698, avg_energy=43443430.698, avg_D=0.057, hit_rate=0.333, energy_eff=0.879, epsilon=0.10
Episode 1200/1500: avg_reward=-43862715.703, avg_energy=43862715.703, avg_D=0.055, hit_rate=0.323, energy_eff=0.862, epsilon=0.10
Episode 1210/1500: avg_reward=-43513085.894, avg_energy=43513085.894, avg_D=0.056, hit_rate=0.318, energy_eff=0.850, epsilon=0.10
Episode 1220/1500: avg_reward=-44820354.485, avg_energy=44820354.485, avg_D=0.058, hit_rate=0.337, energy_eff=0.844, epsilon=0.10
Episode 1230/1500: avg_reward=-43846800.839, avg_energy=43846800.839, avg_D=0.057, hit_rate=0.318, energy_eff=0.858, epsilon=0.10
Episode 1240/1500: avg_reward=-43022950.830, avg_energy=43022950.830, avg_D=0.057, hit_rate=0.336, energy_eff=0.868, epsilon=0.10
Episode 1250/1500: avg_reward=-43593645.832, avg_energy=43593645.832, avg_D=0.057, hit_rate=0.338, energy_eff=0.850, epsilon=0.10
Episode 1260/1500: avg_reward=-41863470.433, avg_energy=41863470.433, avg_D=0.055, hit_rate=0.341, energy_eff=0.888, epsilon=0.10
Episode 1270/1500: avg_reward=-46393834.161, avg_energy=46393834.161, avg_D=0.055, hit_rate=0.329, energy_eff=0.811, epsilon=0.10
Episode 1280/1500: avg_reward=-42457722.668, avg_energy=42457722.668, avg_D=0.057, hit_rate=0.336, energy_eff=0.881, epsilon=0.10
Episode 1290/1500: avg_reward=-45079499.984, avg_energy=45079499.984, avg_D=0.056, hit_rate=0.340, energy_eff=0.843, epsilon=0.10
Episode 1300/1500: avg_reward=-44316965.384, avg_energy=44316965.384, avg_D=0.053, hit_rate=0.336, energy_eff=0.858, epsilon=0.10
Episode 1310/1500: avg_reward=-42689673.815, avg_energy=42689673.815, avg_D=0.056, hit_rate=0.327, energy_eff=0.877, epsilon=0.10
Episode 1320/1500: avg_reward=-44371994.016, avg_energy=44371994.016, avg_D=0.056, hit_rate=0.328, energy_eff=0.856, epsilon=0.10
Episode 1330/1500: avg_reward=-42896032.133, avg_energy=42896032.133, avg_D=0.056, hit_rate=0.328, energy_eff=0.876, epsilon=0.10
Episode 1340/1500: avg_reward=-42072437.701, avg_energy=42072437.701, avg_D=0.057, hit_rate=0.343, energy_eff=0.885, epsilon=0.10
Episode 1350/1500: avg_reward=-42320513.273, avg_energy=42320513.273, avg_D=0.056, hit_rate=0.317, energy_eff=0.891, epsilon=0.10
Episode 1360/1500: avg_reward=-42775132.279, avg_energy=42775132.279, avg_D=0.056, hit_rate=0.336, energy_eff=0.891, epsilon=0.10
Episode 1370/1500: avg_reward=-41425160.432, avg_energy=41425160.432, avg_D=0.058, hit_rate=0.339, energy_eff=0.912, epsilon=0.10
Episode 1380/1500: avg_reward=-42952880.932, avg_energy=42952880.932, avg_D=0.056, hit_rate=0.340, energy_eff=0.880, epsilon=0.10
Episode 1390/1500: avg_reward=-43945771.958, avg_energy=43945771.958, avg_D=0.056, hit_rate=0.324, energy_eff=0.844, epsilon=0.10
Episode 1400/1500: avg_reward=-45406448.259, avg_energy=45406448.259, avg_D=0.054, hit_rate=0.337, energy_eff=0.828, epsilon=0.10
Episode 1410/1500: avg_reward=-42664480.656, avg_energy=42664480.656, avg_D=0.057, hit_rate=0.332, energy_eff=0.866, epsilon=0.10
Episode 1420/1500: avg_reward=-42364983.896, avg_energy=42364983.896, avg_D=0.055, hit_rate=0.320, energy_eff=0.891, epsilon=0.10
Episode 1430/1500: avg_reward=-44628231.099, avg_energy=44628231.099, avg_D=0.055, hit_rate=0.340, energy_eff=0.847, epsilon=0.10
Episode 1440/1500: avg_reward=-42556149.160, avg_energy=42556149.160, avg_D=0.054, hit_rate=0.338, energy_eff=0.880, epsilon=0.10
Episode 1450/1500: avg_reward=-43981578.705, avg_energy=43981578.705, avg_D=0.057, hit_rate=0.335, energy_eff=0.849, epsilon=0.10
Episode 1460/1500: avg_reward=-45407732.060, avg_energy=45407732.060, avg_D=0.056, hit_rate=0.351, energy_eff=0.821, epsilon=0.10
Episode 1470/1500: avg_reward=-44331342.221, avg_energy=44331342.221, avg_D=0.056, hit_rate=0.326, energy_eff=0.849, epsilon=0.10
Episode 1480/1500: avg_reward=-43041252.867, avg_energy=43041252.867, avg_D=0.058, hit_rate=0.329, energy_eff=0.878, epsilon=0.10
Episode 1490/1500: avg_reward=-44911710.416, avg_energy=44911710.416, avg_D=0.057, hit_rate=0.333, energy_eff=0.828, epsilon=0.10
Episode 1500/1500: avg_reward=-43796792.718, avg_energy=43796792.718, avg_D=0.056, hit_rate=0.335, energy_eff=0.862, epsilon=0.10
Training completed under mode='random_all'.
Model saved to models/ddqn_Figure_4__Caching_capacity_10_M3_N8_F10_K3_Cc10_Cr5_lr0.001_moderandom_all_20250414_125104.pth
Metrics saved to models/ddqn_Figure_4__Caching_capacity_10_M3_N8_F10_K3_Cc10_Cr5_lr0.001_moderandom_all_20250414_125104_metrics.npz
